flight_id,departure_city,departure_country,arrival_city,arrival_country,price,class_name,price_rate,weight_allowed,number_of_meals,departure_date,departure_time,duration,departure_datetime,detailed_route
1,Karachi,Pakistan,Karachi,Pakistan,650,Economy,1,30 kg,1,10/1/2024,23:57:00,0 days 16:00:00,10/1/2024 23:57,Karachi Pakistan to Karachi Pakistan | Class: Economy | Price: 650 | Departure: 2024-10-01 23:57:00 | Duration: 0 days 16:00:00
1,Karachi,Pakistan,Karachi,Pakistan,650,Business,2,40 kg,2,10/1/2024,23:57:00,0 days 16:00:00,10/1/2024 23:57,Karachi Pakistan to Karachi Pakistan | Class: Business | Price: 650 | Departure: 2024-10-01 23:57:00 | Duration: 0 days 16:00:00
6,Karachi,Pakistan,Damascus,Syria,114,Economy,1,30 kg,1,10/6/2024,11:33:00,0 days 08:00:00,10/6/2024 11:33,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 114 | Departure: 2024-10-06 11:33:00 | Duration: 0 days 08:00:00
6,Karachi,Pakistan,Damascus,Syria,114,Business,2,40 kg,2,10/6/2024,11:33:00,0 days 08:00:00,10/6/2024 11:33,Karachi Pakistan to Damascus Syria | Class: Business | Price: 114 | Departure: 2024-10-06 11:33:00 | Duration: 0 days 08:00:00
37,Karachi,Pakistan,Damascus,Syria,479,Economy,1,30 kg,1,11/6/2024,8:39:00,0 days 09:00:00,11/6/2024 8:39,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 479 | Departure: 2024-11-06 08:39:00 | Duration: 0 days 09:00:00
37,Karachi,Pakistan,Damascus,Syria,479,Business,2,40 kg,2,11/6/2024,8:39:00,0 days 09:00:00,11/6/2024 8:39,Karachi Pakistan to Damascus Syria | Class: Business | Price: 479 | Departure: 2024-11-06 08:39:00 | Duration: 0 days 09:00:00
126,Karachi,Pakistan,Damascus,Syria,170,Economy,1,30 kg,1,2/3/2025,22:59:00,0 days 13:00:00,2/3/2025 22:59,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 170 | Departure: 2025-02-03 22:59:00 | Duration: 0 days 13:00:00
126,Karachi,Pakistan,Damascus,Syria,170,Business,2,40 kg,2,2/3/2025,22:59:00,0 days 13:00:00,2/3/2025 22:59,Karachi Pakistan to Damascus Syria | Class: Business | Price: 170 | Departure: 2025-02-03 22:59:00 | Duration: 0 days 13:00:00
143,Karachi,Pakistan,Damascus,Syria,189,Economy,1,30 kg,1,2/20/2025,21:07:00,0 days 01:00:00,2/20/2025 21:07,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 189 | Departure: 2025-02-20 21:07:00 | Duration: 0 days 01:00:00
143,Karachi,Pakistan,Damascus,Syria,189,Business,2,40 kg,2,2/20/2025,21:07:00,0 days 01:00:00,2/20/2025 21:07,Karachi Pakistan to Damascus Syria | Class: Business | Price: 189 | Departure: 2025-02-20 21:07:00 | Duration: 0 days 01:00:00
180,Karachi,Pakistan,Damascus,Syria,500,Economy,1,30 kg,1,3/29/2025,5:55:00,0 days 08:00:00,3/29/2025 5:55,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 500 | Departure: 2025-03-29 05:55:00 | Duration: 0 days 08:00:00
180,Karachi,Pakistan,Damascus,Syria,500,Business,2,40 kg,2,3/29/2025,5:55:00,0 days 08:00:00,3/29/2025 5:55,Karachi Pakistan to Damascus Syria | Class: Business | Price: 500 | Departure: 2025-03-29 05:55:00 | Duration: 0 days 08:00:00
185,Karachi,Pakistan,Damascus,Syria,433,Economy,1,30 kg,1,4/3/2025,13:07:00,0 days 13:00:00,4/3/2025 13:07,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 433 | Departure: 2025-04-03 13:07:00 | Duration: 0 days 13:00:00
185,Karachi,Pakistan,Damascus,Syria,433,Business,2,40 kg,2,4/3/2025,13:07:00,0 days 13:00:00,4/3/2025 13:07,Karachi Pakistan to Damascus Syria | Class: Business | Price: 433 | Departure: 2025-04-03 13:07:00 | Duration: 0 days 13:00:00
188,Karachi,Pakistan,Damascus,Syria,390,Economy,1,30 kg,1,4/6/2025,10:27:00,0 days 01:00:00,4/6/2025 10:27,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 390 | Departure: 2025-04-06 10:27:00 | Duration: 0 days 01:00:00
188,Karachi,Pakistan,Damascus,Syria,390,Business,2,40 kg,2,4/6/2025,10:27:00,0 days 01:00:00,4/6/2025 10:27,Karachi Pakistan to Damascus Syria | Class: Business | Price: 390 | Departure: 2025-04-06 10:27:00 | Duration: 0 days 01:00:00
201,Karachi,Pakistan,Damascus,Syria,197,Economy,1,30 kg,1,4/19/2025,17:53:00,0 days 02:00:00,4/19/2025 17:53,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 197 | Departure: 2025-04-19 17:53:00 | Duration: 0 days 02:00:00
201,Karachi,Pakistan,Damascus,Syria,197,Business,2,40 kg,2,4/19/2025,17:53:00,0 days 02:00:00,4/19/2025 17:53,Karachi Pakistan to Damascus Syria | Class: Business | Price: 197 | Departure: 2025-04-19 17:53:00 | Duration: 0 days 02:00:00
207,Karachi,Pakistan,Damascus,Syria,166,Economy,1,30 kg,1,4/25/2025,4:04:00,0 days 01:00:00,4/25/2025 4:04,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 166 | Departure: 2025-04-25 04:04:00 | Duration: 0 days 01:00:00
207,Karachi,Pakistan,Damascus,Syria,166,Business,2,40 kg,2,4/25/2025,4:04:00,0 days 01:00:00,4/25/2025 4:04,Karachi Pakistan to Damascus Syria | Class: Business | Price: 166 | Departure: 2025-04-25 04:04:00 | Duration: 0 days 01:00:00
222,Karachi,Pakistan,Damascus,Syria,70,Economy,1,30 kg,1,5/10/2025,6:23:00,0 days 07:00:00,5/10/2025 6:23,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 70 | Departure: 2025-05-10 06:23:00 | Duration: 0 days 07:00:00
222,Karachi,Pakistan,Damascus,Syria,70,Business,2,40 kg,2,5/10/2025,6:23:00,0 days 07:00:00,5/10/2025 6:23,Karachi Pakistan to Damascus Syria | Class: Business | Price: 70 | Departure: 2025-05-10 06:23:00 | Duration: 0 days 07:00:00
247,Karachi,Pakistan,Damascus,Syria,163,Economy,1,30 kg,1,6/4/2025,8:19:00,0 days 12:00:00,6/4/2025 8:19,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 163 | Departure: 2025-06-04 08:19:00 | Duration: 0 days 12:00:00
247,Karachi,Pakistan,Damascus,Syria,163,Business,2,40 kg,2,6/4/2025,8:19:00,0 days 12:00:00,6/4/2025 8:19,Karachi Pakistan to Damascus Syria | Class: Business | Price: 163 | Departure: 2025-06-04 08:19:00 | Duration: 0 days 12:00:00
267,Karachi,Pakistan,Damascus,Syria,164,Economy,1,30 kg,1,6/24/2025,15:57:00,0 days 15:00:00,6/24/2025 15:57,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 164 | Departure: 2025-06-24 15:57:00 | Duration: 0 days 15:00:00
267,Karachi,Pakistan,Damascus,Syria,164,Business,2,40 kg,2,6/24/2025,15:57:00,0 days 15:00:00,6/24/2025 15:57,Karachi Pakistan to Damascus Syria | Class: Business | Price: 164 | Departure: 2025-06-24 15:57:00 | Duration: 0 days 15:00:00
298,Karachi,Pakistan,Damascus,Syria,55,Economy,1,30 kg,1,7/25/2025,17:32:00,0 days 17:00:00,7/25/2025 17:32,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 55 | Departure: 2025-07-25 17:32:00 | Duration: 0 days 17:00:00
298,Karachi,Pakistan,Damascus,Syria,55,Business,2,40 kg,2,7/25/2025,17:32:00,0 days 17:00:00,7/25/2025 17:32,Karachi Pakistan to Damascus Syria | Class: Business | Price: 55 | Departure: 2025-07-25 17:32:00 | Duration: 0 days 17:00:00
302,Karachi,Pakistan,Damascus,Syria,415,Economy,1,30 kg,1,7/29/2025,10:43:00,0 days 11:00:00,7/29/2025 10:43,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 415 | Departure: 2025-07-29 10:43:00 | Duration: 0 days 11:00:00
302,Karachi,Pakistan,Damascus,Syria,415,Business,2,40 kg,2,7/29/2025,10:43:00,0 days 11:00:00,7/29/2025 10:43,Karachi Pakistan to Damascus Syria | Class: Business | Price: 415 | Departure: 2025-07-29 10:43:00 | Duration: 0 days 11:00:00
346,Karachi,Pakistan,Damascus,Syria,199,Economy,1,30 kg,1,9/11/2025,11:24:00,0 days 02:00:00,9/11/2025 11:24,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 199 | Departure: 2025-09-11 11:24:00 | Duration: 0 days 02:00:00
346,Karachi,Pakistan,Damascus,Syria,199,Business,2,40 kg,2,9/11/2025,11:24:00,0 days 02:00:00,9/11/2025 11:24,Karachi Pakistan to Damascus Syria | Class: Business | Price: 199 | Departure: 2025-09-11 11:24:00 | Duration: 0 days 02:00:00
349,Karachi,Pakistan,Damascus,Syria,227,Economy,1,30 kg,1,9/14/2025,3:04:00,0 days 06:00:00,9/14/2025 3:04,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 227 | Departure: 2025-09-14 03:04:00 | Duration: 0 days 06:00:00
349,Karachi,Pakistan,Damascus,Syria,227,Business,2,40 kg,2,9/14/2025,3:04:00,0 days 06:00:00,9/14/2025 3:04,Karachi Pakistan to Damascus Syria | Class: Business | Price: 227 | Departure: 2025-09-14 03:04:00 | Duration: 0 days 06:00:00
372,Karachi,Pakistan,Damascus,Syria,277,Economy,1,30 kg,1,10/7/2025,14:48:00,0 days 07:00:00,10/7/2025 14:48,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 277 | Departure: 2025-10-07 14:48:00 | Duration: 0 days 07:00:00
372,Karachi,Pakistan,Damascus,Syria,277,Business,2,40 kg,2,10/7/2025,14:48:00,0 days 07:00:00,10/7/2025 14:48,Karachi Pakistan to Damascus Syria | Class: Business | Price: 277 | Departure: 2025-10-07 14:48:00 | Duration: 0 days 07:00:00
381,Karachi,Pakistan,Damascus,Syria,327,Economy,1,30 kg,1,10/16/2025,14:19:00,0 days 14:00:00,10/16/2025 14:19,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 327 | Departure: 2025-10-16 14:19:00 | Duration: 0 days 14:00:00
381,Karachi,Pakistan,Damascus,Syria,327,Business,2,40 kg,2,10/16/2025,14:19:00,0 days 14:00:00,10/16/2025 14:19,Karachi Pakistan to Damascus Syria | Class: Business | Price: 327 | Departure: 2025-10-16 14:19:00 | Duration: 0 days 14:00:00
426,Karachi,Pakistan,Damascus,Syria,238,Economy,1,30 kg,1,11/30/2025,19:19:00,0 days 19:00:00,11/30/2025 19:19,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 238 | Departure: 2025-11-30 19:19:00 | Duration: 0 days 19:00:00
426,Karachi,Pakistan,Damascus,Syria,238,Business,2,40 kg,2,11/30/2025,19:19:00,0 days 19:00:00,11/30/2025 19:19,Karachi Pakistan to Damascus Syria | Class: Business | Price: 238 | Departure: 2025-11-30 19:19:00 | Duration: 0 days 19:00:00
454,Karachi,Pakistan,Damascus,Syria,314,Economy,1,30 kg,1,12/28/2025,19:54:00,0 days 13:00:00,12/28/2025 19:54,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 314 | Departure: 2025-12-28 19:54:00 | Duration: 0 days 13:00:00
454,Karachi,Pakistan,Damascus,Syria,314,Business,2,40 kg,2,12/28/2025,19:54:00,0 days 13:00:00,12/28/2025 19:54,Karachi Pakistan to Damascus Syria | Class: Business | Price: 314 | Departure: 2025-12-28 19:54:00 | Duration: 0 days 13:00:00
455,Karachi,Pakistan,Damascus,Syria,61,Economy,1,30 kg,1,12/29/2025,6:39:00,0 days 05:00:00,12/29/2025 6:39,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 61 | Departure: 2025-12-29 06:39:00 | Duration: 0 days 05:00:00
455,Karachi,Pakistan,Damascus,Syria,61,Business,2,40 kg,2,12/29/2025,6:39:00,0 days 05:00:00,12/29/2025 6:39,Karachi Pakistan to Damascus Syria | Class: Business | Price: 61 | Departure: 2025-12-29 06:39:00 | Duration: 0 days 05:00:00
457,Karachi,Pakistan,Damascus,Syria,371,Economy,1,30 kg,1,12/31/2025,1:16:00,0 days 04:00:00,12/31/2025 1:16,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 371 | Departure: 2025-12-31 01:16:00 | Duration: 0 days 04:00:00
457,Karachi,Pakistan,Damascus,Syria,371,Business,2,40 kg,2,12/31/2025,1:16:00,0 days 04:00:00,12/31/2025 1:16,Karachi Pakistan to Damascus Syria | Class: Business | Price: 371 | Departure: 2025-12-31 01:16:00 | Duration: 0 days 04:00:00
458,Karachi,Pakistan,Damascus,Syria,374,Economy,1,30 kg,1,1/1/2026,9:33:00,0 days 12:00:00,1/1/2026 9:33,Karachi Pakistan to Damascus Syria | Class: Economy | Price: 374 | Departure: 2026-01-01 09:33:00 | Duration: 0 days 12:00:00
